e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e
e;e;e;e;a;h;h;h;h;h;h;h;h;h;h;h;h;b;a;h;h;h;h;h;h;h;h;h;h;h;h;b;e;e;e;e
e;e;e;e;v;.;.;.;.;.;.;.;.;.;.;.;.;v;v;.;.;.;.;.;.;.;.;.;.;.;.;v;e;e;e;e
e;e;e;e;v;.;a;h;h;b;.;a;h;h;h;b;.;v;v;.;a;h;h;h;b;.;a;h;h;b;.;v;e;e;e;e
e;e;e;e;v;*;v;e;e;v;.;v;e;e;e;v;.;v;v;.;v;e;e;e;v;.;v;e;e;v;*;v;e;e;e;e
e;e;e;e;v;.;d;h;h;c;.;d;h;h;h;c;.;d;c;.;d;h;h;h;c;.;d;h;h;c;.;v;e;e;e;e
e;e;e;e;v;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;v;e;e;e;e
e;e;e;e;v;.;a;h;h;b;.;a;b;.;a;h;h;h;h;h;h;b;.;a;b;.;a;h;h;b;.;v;e;e;e;e
e;e;e;e;v;.;d;h;h;c;.;v;v;.;d;h;b;e;e;a;h;c;.;v;v;.;d;h;h;c;.;v;e;e;e;e
e;e;e;e;v;.;.;.;.;.;.;v;v;.;.;.;v;e;e;v;.;.;.;v;v;.;.;.;.;.;.;v;e;e;e;e
e;e;e;e;d;h;h;h;h;b;.;v;d;h;b;e;v;e;e;v;e;a;h;c;v;.;a;h;h;h;h;c;e;e;e;e
e;e;e;e;e;e;e;e;e;v;.;v;a;h;c;e;d;h;h;c;e;d;h;b;v;.;v;e;e;e;e;e;e;e;e;e
e;e;e;e;e;e;e;e;e;v;.;v;v;e;e;e;e;e;e;e;e;e;e;v;v;.;v;e;e;e;e;e;e;e;e;e
e;e;e;e;h;h;h;h;h;c;.;d;c;e;a;k;h;e;e;h;k;b;e;d;c;.;d;h;h;h;h;h;e;e;e;e
e;e;e;e;e;e;e;e;e;e;.;e;e;e;v;v;e;e;e;e;v;v;e;e;e;.;e;e;e;e;e;e;e;e;e;e
e;e;e;e;h;h;h;h;h;b;.;a;b;e;d;i;h;h;h;h;i;c;e;a;b;.;a;h;h;h;h;h;e;e;e;e
e;e;e;e;e;e;e;e;e;v;.;v;v;e;e;e;e;e;e;e;e;e;e;v;v;.;v;e;e;e;e;e;e;e;e;e
e;e;e;e;e;e;e;e;e;v;.;v;v;e;a;h;h;h;h;h;h;b;e;v;v;.;v;e;e;e;e;e;e;e;e;e
e;e;e;e;a;h;h;h;h;c;.;d;c;e;d;h;h;b;a;h;h;c;e;d;c;.;d;h;h;h;h;b;e;e;e;e
e;e;e;e;v;.;.;.;.;.;.;.;.;.;.;.;.;v;v;.;.;.;.;.;.;.;.;.;.;.;.;v;e;e;e;e
e;e;e;e;v;.;a;h;h;b;.;a;h;h;h;b;.;v;v;.;a;h;h;h;b;.;a;h;h;b;.;v;e;e;e;e
e;e;e;e;v;.;d;h;b;v;.;d;h;h;h;c;.;d;c;.;d;h;h;h;c;.;v;a;h;c;.;v;e;e;e;e
e;e;e;e;v;*;.;.;v;v;.;.;.;.;.;.;.;e;.;.;.;.;.;.;.;.;v;v;.;.;*;v;e;e;e;e
e;e;e;e;d;h;b;.;v;v;.;a;b;.;a;h;h;h;h;h;h;b;.;a;b;.;v;v;.;a;h;c;e;e;e;e
e;e;e;e;a;h;c;.;d;c;.;v;v;.;d;h;h;b;a;h;h;c;.;v;v;.;d;c;.;d;h;b;e;e;e;e
e;e;e;e;v;.;.;.;.;.;.;v;v;.;.;.;.;v;v;.;.;.;.;v;v;.;.;.;.;.;.;v;e;e;e;e
e;e;e;e;v;.;a;h;h;h;h;c;d;h;h;b;.;v;v;.;a;h;h;c;d;h;h;h;h;b;.;v;e;e;e;e
e;e;e;e;v;.;d;h;h;h;h;h;h;h;h;c;.;d;c;.;d;h;h;h;h;h;h;h;h;c;.;v;e;e;e;e
e;e;e;e;v;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;v;e;e;e;e
e;e;e;e;d;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;c;e;e;e;e
e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e
e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e;e